,taxonomy
Eubacterium_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp3
Eubacterium_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp4
Eubacterium_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Eubacterium;s__Eubacterium_sp5
Clostridium_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp0
Clostridium_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp1
Clostridium_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp2
Clostridium_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp3
Clostridium_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp4
Clostridium_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Clostridium;s__Clostridium_sp5
Streptococcus_OTU0,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp0
Streptococcus_OTU1,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp1
Streptococcus_OTU2,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp2
Streptococcus_OTU3,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp3
Streptococcus_OTU4,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp4
Streptococcus_OTU5,k__Bacteria;p__Firmicutes;c__;o__;f__;g__Streptococcus;s__Streptococcus_sp5
Bacteroides_OTU0,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp0
Bacteroides_OTU1,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp1
Bacteroides_OTU2,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp2
Bacteroides_OTU3,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp3
Bacteroides_OTU4,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp4
Bacteroides_OTU5,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Bacteroides;s__Bacteroides_sp5
Prevotella_OTU0,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp0
Prevotella_OTU1,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp1
Prevotella_OTU2,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp2
Prevotella_OTU3,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp3
Prevotella_OTU4,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp4
Prevotella_OTU5,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Prevotella;s__Prevotella_sp5
Parabacteroides_OTU0,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp0
Parabacteroides_OTU1,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp1
Parabacteroides_OTU2,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp2
Parabacteroides_OTU3,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp3
Parabacteroides_OTU4,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp4
Parabacteroides_OTU5,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Parabacteroides;s__Parabacteroides_sp5
Alistipes_OTU0,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp0
Alistipes_OTU1,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp1
Alistipes_OTU2,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp2
Alistipes_OTU3,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp3
Alistipes_OTU4,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp4
Alistipes_OTU5,k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__Alistipes;s__Alistipes_sp5
Bifidobacterium_OTU0,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp0
Bifidobacterium_OTU1,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp1
Bifidobacterium_OTU2,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp2
Bifidobacterium_OTU3,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp3
Bifidobacterium_OTU4,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp4
Bifidobacterium_OTU5,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Bifidobacterium;s__Bifidobacterium_sp5
Collinsella_OTU0,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp0
Collinsella_OTU1,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp1
Collinsella_OTU2,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp2
Collinsella_OTU3,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp3
Collinsella_OTU4,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp4
Collinsella_OTU5,k__Bacteria;p__Actinobacteria;c__;o__;f__;g__Collinsella;s__Collinsella_sp5
Escherichia_OTU0,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp0
Escherichia_OTU1,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp1
Escherichia_OTU2,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp2
Escherichia_OTU3,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp3
Escherichia_OTU4,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp4
Escherichia_OTU5,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Escherichia;s__Escherichia_sp5
Klebsiella_OTU0,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp0
Klebsiella_OTU1,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp1
Klebsiella_OTU2,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp2
Klebsiella_OTU3,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp3
Klebsiella_OTU4,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp4
Klebsiella_OTU5,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Klebsiella;s__Klebsiella_sp5
Sutterella_OTU0,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp0
Sutterella_OTU1,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp1
Sutterella_OTU2,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp2
Sutterella_OTU3,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp3
Sutterella_OTU4,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp4
Sutterella_OTU5,k__Bacteria;p__Proteobacteria;c__;o__;f__;g__Sutterella;s__Sutterella_sp5
Akkermansia_OTU0,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp0
Akkermansia_OTU1,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp1
Akkermansia_OTU2,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp2
Akkermansia_OTU3,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp3
Akkermansia_OTU4,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp4
Akkermansia_OTU5,k__Bacteria;p__Verrucomicrobia;c__;o__;f__;g__Akkermansia;s__Akkermansia_sp5
Fusobacterium_OTU0,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp0
Fusobacterium_OTU1,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp1
Fusobacterium_OTU2,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp2
Fusobacterium_OTU3,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp3
Fusobacterium_OTU4,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp4
Fusobacterium_OTU5,k__Bacteria;p__Fusobacteria;c__;o__;f__;g__Fusobacterium;s__Fusobacterium_sp5
